count,name,query,total_count,year
1.0,IDL,IDL,203364.0,1995
1.0,IDL,IDL,215973.0,1996
4.0,IDL,IDL,222101.0,1997
2.0,IDL,IDL,229778.0,1998
3.0,IDL,IDL,231573.0,1999
6.0,IDL,IDL,236058.0,2000
4.0,IDL,IDL,254499.0,2001
5.0,IDL,IDL,268226.0,2002
3.0,IDL,IDL,287677.0,2003
7.0,IDL,IDL,295248.0,2004
3.0,IDL,IDL,315570.0,2005
6.0,IDL,IDL,338035.0,2006
5.0,IDL,IDL,353799.0,2007
13.0,IDL,IDL,383358.0,2008
4.0,IDL,IDL,423994.0,2009
7.0,IDL,IDL,431956.0,2010
11.0,IDL,IDL,438595.0,2011
18.0,IDL,IDL,487274.0,2012
6.0,IDL,IDL,489842.0,2013
7.0,IDL,IDL,490972.0,2014
9.0,IDL,IDL,501345.0,2015
7.0,IDL,IDL,527592.0,2016
6.0,IDL,IDL,545554.0,2017
7.0,IDL,IDL,579712.0,2018
9.733333333333334,IDL,IDL,534061.5111111111,2019
1.0,Python,Python,203364.0,1995
1.0,Python,Python,215973.0,1996
1.0,Python,Python,222101.0,1997
0.0,Python,Python,229778.0,1998
3.0,Python,Python,231573.0,1999
4.0,Python,Python,236058.0,2000
1.0,Python,Python,254499.0,2001
0.0,Python,Python,268226.0,2002
4.0,Python,Python,287677.0,2003
0.0,Python,Python,295248.0,2004
2.0,Python,Python,315570.0,2005
3.0,Python,Python,338035.0,2006
4.0,Python,Python,353799.0,2007
3.0,Python,Python,383358.0,2008
2.0,Python,Python,423994.0,2009
3.0,Python,Python,431956.0,2010
4.0,Python,Python,438595.0,2011
19.0,Python,Python,487274.0,2012
21.0,Python,Python,489842.0,2013
25.0,Python,Python,490972.0,2014
32.0,Python,Python,501345.0,2015
48.0,Python,Python,527592.0,2016
69.0,Python,Python,545554.0,2017
107.0,Python,Python,579712.0,2018
128.15555555555557,Python,Python,534061.5111111111,2019
0.0,Matlab,MATLAB,203364.0,1995
0.0,Matlab,MATLAB,215973.0,1996
1.0,Matlab,MATLAB,222101.0,1997
0.0,Matlab,MATLAB,229778.0,1998
1.0,Matlab,MATLAB,231573.0,1999
2.0,Matlab,MATLAB,236058.0,2000
0.0,Matlab,MATLAB,254499.0,2001
3.0,Matlab,MATLAB,268226.0,2002
2.0,Matlab,MATLAB,287677.0,2003
2.0,Matlab,MATLAB,295248.0,2004
2.0,Matlab,MATLAB,315570.0,2005
2.0,Matlab,MATLAB,338035.0,2006
2.0,Matlab,MATLAB,353799.0,2007
3.0,Matlab,MATLAB,383358.0,2008
2.0,Matlab,MATLAB,423994.0,2009
1.0,Matlab,MATLAB,431956.0,2010
2.0,Matlab,MATLAB,438595.0,2011
5.0,Matlab,MATLAB,487274.0,2012
5.0,Matlab,MATLAB,489842.0,2013
4.0,Matlab,MATLAB,490972.0,2014
5.0,Matlab,MATLAB,501345.0,2015
11.0,Matlab,MATLAB,527592.0,2016
13.0,Matlab,MATLAB,545554.0,2017
10.0,Matlab,MATLAB,579712.0,2018
8.11111111111111,Matlab,MATLAB,534061.5111111111,2019
0.0,Matlab,Matlab,203364.0,1995
0.0,Matlab,Matlab,215973.0,1996
1.0,Matlab,Matlab,222101.0,1997
0.0,Matlab,Matlab,229778.0,1998
1.0,Matlab,Matlab,231573.0,1999
3.0,Matlab,Matlab,236058.0,2000
0.0,Matlab,Matlab,254499.0,2001
3.0,Matlab,Matlab,268226.0,2002
8.0,Matlab,Matlab,287677.0,2003
3.0,Matlab,Matlab,295248.0,2004
4.0,Matlab,Matlab,315570.0,2005
4.0,Matlab,Matlab,338035.0,2006
4.0,Matlab,Matlab,353799.0,2007
6.0,Matlab,Matlab,383358.0,2008
4.0,Matlab,Matlab,423994.0,2009
3.0,Matlab,Matlab,431956.0,2010
7.0,Matlab,Matlab,438595.0,2011
8.0,Matlab,Matlab,487274.0,2012
10.0,Matlab,Matlab,489842.0,2013
9.0,Matlab,Matlab,490972.0,2014
7.0,Matlab,Matlab,501345.0,2015
13.0,Matlab,Matlab,527592.0,2016
19.0,Matlab,Matlab,545554.0,2017
13.0,Matlab,Matlab,579712.0,2018
21.08888888888889,Matlab,Matlab,534061.5111111111,2019
5.0,Fortran,Fortran,203364.0,1995
7.0,Fortran,Fortran,215973.0,1996
6.0,Fortran,Fortran,222101.0,1997
8.0,Fortran,Fortran,229778.0,1998
5.0,Fortran,Fortran,231573.0,1999
4.0,Fortran,Fortran,236058.0,2000
7.0,Fortran,Fortran,254499.0,2001
6.0,Fortran,Fortran,268226.0,2002
12.0,Fortran,Fortran,287677.0,2003
6.0,Fortran,Fortran,295248.0,2004
6.0,Fortran,Fortran,315570.0,2005
6.0,Fortran,Fortran,338035.0,2006
6.0,Fortran,Fortran,353799.0,2007
9.0,Fortran,Fortran,383358.0,2008
9.0,Fortran,Fortran,423994.0,2009
7.0,Fortran,Fortran,431956.0,2010
12.0,Fortran,Fortran,438595.0,2011
7.0,Fortran,Fortran,487274.0,2012
